,하차역,2019년 10월,2019년 11월,2019년 12월,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2020년 10월,2020년 11월,2020년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월
0,수서,688598,693801,702925,635413,571951,635148,634961,665793,633893,651270,661198,641660,530983,542071,353762,671906,463622,271878,366778,516854,517385,563094,507766,392803
1,동탄,137426,138813,141479,122992,118806,126072,123414,131903,127672,128411,133516,130273,107006,110995,74633,140922,91076,52603,71065,101095,100721,111160,103884,79794
2,지제,66757,66749,69904,56499,52610,59393,58909,61635,60516,61988,63179,62078,60350,63447,47051,66672,48919,33938,41300,56694,57570,62661,57440,47810
3,천안아산,98227,99800,96784,83674,75595,90094,88893,91361,88317,88589,88485,88016,75257,77313,53737,87673,65383,41207,55898,73668,75407,80493,71153,59953
4,오송,88728,89167,88842,76985,68188,78949,80323,82367,79227,82982,81295,78698,72235,76544,52794,81369,60924,39503,51892,69733,73809,79510,68966,58203
5,대전,149600,153924,148518,134213,122980,140648,137200,141558,137868,138468,138145,138168,110385,117362,75940,134353,96055,54457,78426,109692,107571,111240,102624,86493
6,김천구미,25502,25639,25072,25575,23230,24671,24412,25047,24016,25066,24755,24613,20114,20395,14735,24780,16508,8880,14337,19444,19976,22797,19949,17181
7,동대구,226169,234167,231743,210931,204787,216955,209347,218737,210849,212660,216973,214225,167716,175757,117862,222856,127454,43564,94628,148533,158870,181388,162675,133639
8,신경주,40497,36619,30863,25670,26042,29616,33869,33275,30786,29284,33249,30476,26049,27394,15397,29265,18021,8207,14568,21715,21977,26185,26683,18272
9,울산,90701,92726,92363,85091,81446,87177,82601,87190,84642,85720,85726,85540,65099,68407,44912,88898,58020,31290,48053,67408,66318,72400,64242,50018
10,부산,268284,275642,280047,248658,244554,246440,240755,263973,253565,256980,270393,241322,168532,180122,109325,260227,158574,81307,124481,171883,175869,206701,189262,129670
11,공주,2999,3015,2572,2060,2182,2131,2472,2695,2563,2546,2709,2761,2218,2263,1602,2723,1720,1032,1454,2133,2018,2181,2122,1592
12,익산,64259,64061,62058,53370,51864,56629,56081,61190,57027,55851,57918,59378,48083,50417,33161,58910,40670,29284,36171,47525,47256,49559,45529,37052
13,정읍,12285,13807,11613,10648,10838,10490,10884,11644,10811,11032,11408,11593,9423,11303,7101,11852,7852,6116,7718,10034,9551,9561,9404,7861
14,광주송정,123116,126833,127480,110437,105345,110353,110756,115906,112674,115666,115877,116935,91619,94404,65632,120330,79170,55959,70701,93901,91148,81939,84586,69074
15,나주,12690,12785,13529,12202,11288,12154,12799,12460,12134,12539,12577,12808,10623,11042,7547,13123,9536,7385,8440,11005,10834,11126,10254,8234
16,목포,27380,25591,25767,22140,22430,22082,22725,24255,22845,23553,26405,25114,19838,19508,14156,25889,16659,11151,14441,19839,19390,19390,20748,14886
