Unnamed: 0,구분,승하차,공주,광주송정,김천구미,나주,대전,동대구,동탄,목포,부산,수서,신경주,오송,울산,익산,정읍,지제,천안아산
0,2020년 1주,승차,73,4096,752,409,4193,7423,4590,909,9027,20114,1031,2442,2899,1946,390,2147,2710
1,2020년 1주,하차,82,3711,813,419,4281,7348,4644,794,8541,21044,968,2383,2908,1837,381,2256,2740
2,2020년 2주,승차,82,4019,758,391,4333,7239,4323,767,8087,21008,954,2688,2696,1883,341,2012,2740
3,2020년 2주,하차,81,3819,744,394,4379,7111,4350,769,8192,21148,972,2621,2786,1819,319,2000,2815
4,2020년 3주,승차,80,3992,746,385,4412,7087,4202,785,8217,21350,897,2692,2607,1880,343,1961,2751
5,2020년 3주,하차,84,3862,729,403,4452,7026,4152,779,8374,21223,925,2628,2789,1841,331,1947,2843
6,2020년 4주,승차,115,3909,817,446,4247,7373,4978,865,8100,22140,864,2300,2785,1955,449,2106,2593
7,2020년 4주,하차,104,4460,847,452,3960,7931,4537,1043,9345,20121,972,2099,3206,2065,497,1940,2465
8,2020년 5주,승차,77,4067,717,416,3721,7003,3543,892,8395,17643,890,2239,2786,1733,381,1737,2323
9,2020년 5주,하차,75,3180,655,427,3907,6025,4243,726,7046,20511,808,2282,2498,1543,291,1885,2461
10,2020년 6주,승차,55,2881,659,329,3563,5756,3299,606,6176,17055,736,2177,2221,1396,272,1644,2193
11,2020년 6주,하차,60,2754,635,339,3575,5645,3302,588,6283,17107,744,2146,2294,1364,256,1658,2268
12,2020년 7주,승차,67,3144,697,353,3921,6185,3561,645,6678,18089,796,2306,2459,1585,305,1842,2393
13,2020년 7주,하차,65,3028,673,355,3931,6129,3574,616,6742,18262,793,2243,2539,1541,288,1784,2462
14,2020년 8주,승차,67,3201,565,352,3330,3935,3060,655,5812,16294,615,2134,2026,1554,289,1569,2184
15,2020년 8주,하차,64,3064,537,357,3414,3612,3210,645,5701,16516,589,2089,2065,1529,281,1630,2339
16,2020년 9주,승차,29,1633,194,223,1277,878,1306,347,2062,7196,172,1019,709,809,164,818,963
17,2020년 9주,하차,28,1632,190,231,1333,855,1359,352,1957,7193,172,953,707,812,168,832,1024
18,2020년 10주,승차,31,1548,184,203,1265,872,1260,321,1928,6724,156,1003,739,775,161,838,900
19,2020년 10주,하차,27,1533,184,204,1274,871,1293,324,1955,6714,166,941,732,763,164,822,941
20,2020년 11주,승차,32,1815,222,238,1636,1161,1537,366,2478,7980,230,1111,950,885,183,940,1081
21,2020년 11주,하차,32,1805,217,241,1607,1166,1536,349,2532,7926,234,1083,972,916,179,907,1143
22,2020년 12주,승차,35,1930,282,249,1863,1512,1685,406,2849,8788,275,1207,1085,955,196,1017,1229
23,2020년 12주,하차,32,1888,277,257,1837,1547,1743,396,2887,8786,285,1149,1102,921,191,1002,1263
24,2020년 13주,승차,40,2017,331,226,1955,1798,1771,390,3092,9276,308,1241,1166,990,209,1032,1318
25,2020년 13주,하차,37,1974,309,229,1908,1841,1808,387,3124,9224,324,1211,1204,988,200,1037,1355
26,2020년 14주,승차,41,1987,359,233,2051,2073,1803,385,3225,9528,352,1271,1238,1003,214,1066,1362
27,2020년 14주,하차,42,1948,351,226,2035,2140,1848,366,3204,9545,380,1228,1241,960,216,1054,1408
28,2020년 15주,승차,41,2150,385,258,2242,2446,1984,440,3537,10522,368,1462,1372,1082,219,1126,1507
29,2020년 15주,하차,39,2126,371,263,2270,2499,2015,414,3510,10528,381,1410,1410,1020,204,1128,1553
30,2020년 16주,승차,49,2317,456,253,2511,3026,2181,462,3864,11124,427,1544,1492,1148,234,1260,1647
31,2020년 16주,하차,46,2208,445,261,2465,3005,2229,434,3808,11329,428,1531,1506,1097,229,1256,1720
32,2020년 17주,승차,51,2533,506,305,2792,3618,2439,505,4331,12823,498,1740,1680,1228,260,1318,1789
33,2020년 17주,하차,50,2449,482,294,2759,3563,2464,501,4261,13045,502,1713,1716,1194,244,1319,1862
34,2020년 18주,승차,70,3009,580,339,3119,4373,3344,734,5610,16041,712,1942,2040,1498,343,1674,2025
35,2020년 18주,하차,75,3177,610,360,3064,4651,3089,785,6319,14878,810,1831,2217,1602,368,1577,2038
36,2020년 19주,승차,64,3290,621,371,3377,4930,2994,720,5700,15066,687,2042,2179,1667,363,1586,2105
37,2020년 19주,하차,62,2975,597,348,3330,4626,3224,606,5154,16407,647,1990,2111,1513,315,1690,2167
38,2020년 20주,승차,70,3099,602,350,3483,4761,2973,614,5346,15736,643,2153,2140,1483,313,1603,2119
39,2020년 20주,하차,67,2982,573,348,3447,4720,3002,604,5394,15923,659,2079,2190,1396,295,1616,2193
40,2020년 21주,승차,69,3061,630,349,3485,4904,3095,627,5490,15830,670,2223,2074,1490,292,1701,2184
41,2020년 21주,하차,60,2976,596,338,3454,4841,3123,624,5585,15909,692,2149,2136,1471,287,1649,2284
42,2020년 22주,승차,64,3070,643,358,3508,4871,3097,650,5601,16009,688,2267,2116,1475,299,1690,2232
43,2020년 22주,하차,69,2979,604,358,3522,4837,3085,625,5641,16041,693,2187,2195,1454,290,1737,2320
44,2020년 23주,승차,63,2983,638,327,3481,4912,3081,645,5532,15739,689,2200,2079,1496,306,1654,2152
45,2020년 23주,하차,65,2918,605,331,3488,4863,3054,619,5562,15849,704,2134,2125,1462,301,1672,2225
46,2020년 24주,승차,64,3074,662,355,3638,5189,3172,643,5692,16288,686,2336,2095,1525,289,1727,2249
47,2020년 24주,하차,67,3001,613,353,3622,5133,3209,628,5755,16358,687,2259,2181,1482,292,1700,2343
48,2020년 25주,승차,69,3151,673,352,3510,5370,3331,689,5882,16989,708,2320,2181,1577,321,1834,2333
49,2020년 25주,하차,68,3083,641,361,3489,5435,3285,672,6098,16872,727,2252,2250,1547,310,1800,2399
50,2020년 26주,승차,66,3216,693,391,3253,5693,3417,692,6099,17294,754,2415,2190,1631,321,1885,2378
51,2020년 26주,하차,66,3117,657,387,3265,5614,3438,681,6211,17333,776,2320,2320,1601,324,1844,2435
52,2020년 27주,승차,58,2844,633,298,2790,4906,2911,584,5272,15398,639,2122,1914,1366,251,1438,1990
53,2020년 27주,하차,56,2726,587,330,3032,4786,2914,559,4740,15680,623,2202,1896,1302,234,1604,2142
